Nome do Produto,Status,ID do produto,Tipos de Anuncios,localizacao-palavra-chave-dropdown,Data de Inicio,Data de Encerramento,Impressao,Cliques,CTR,Conversoes,Conversoes Diretas,Taxa de Conversao,Taxa de Conversao Direta,Custo por Conversao,Custo por Conversao Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressoes do Produto,Cliques de Produtos,CTR do Produto,Impressao por venda efetiva
Termogênico  TERMOMAX Borer Caps 60 cápsulas 590mg - Suplemento Alimetar,Em andamento,12682583867,Anúncios Descoberta,Você também pode gostar,09/10/2022 00:00,Ilimitado,34576,411,1.19%,23,19,5.60%,4.62%,2.38,2.88,25,21,930.95,729.95,54.80,16.99,13.32,5.89%,7.51%,N/A,N/A,N/A,1383
Termogênico Thermo Max 60 caps. - Borer Caps,Pausado,14164354668,Anúncios Descoberta,Descobertas do dia,16/06/2023 00:00,Ilimitado,22039,223,1.01%,2,1,0.90%,0.45%,12.08,24.16,2,1,71.09,35.97,24.16,2.94,1.49,33.99%,67.17%,N/A,N/A,N/A,11020
Termogênico Thermo Max 60 caps. - Borer Caps,Pausado,14164354668,Anúncios Descoberta,Você também pode gostar,16/06/2023 00:00,Ilimitado,10405,134,1.29%,5,4,3.73%,2.99%,2.95,3.69,6,4,241.54,171.74,14.74,16.39,11.65,6.10%,8.58%,N/A,N/A,N/A,1734
PRÉ TREINO THERMOMAX ACTIVE FAT BURNER C/ THERMO PHASE BORERCAPS 1.000mg/dose,Em andamento,16326971181,Anúncio de Busca de Produtos,termo max,08/10/2022 00:00,Ilimitado,2368,74,3.12%,10,9,13.51%,12.16%,0.93,01.04,10,9,404.32,314.37,9.35,43.24,33.62,2.31%,2.97%,N/A,N/A,N/A,237
PRÉ TREINO THERMOMAX ACTIVE FAT BURNER C/ THERMO PHASE BORERCAPS 1.000mg/dose,Em andamento,16326971181,Anúncio de Busca de Produtos,termogenico emagrecedor,08/10/2022 00:00,Ilimitado,6383,153,2.40%,14,13,9.15%,8.50%,1.44,1.55,14,13,479.01,454.11,20.11,23.82,22.58,4.20%,4.43%,N/A,N/A,N/A,456
PRÉ TREINO THERMOMAX ACTIVE FAT BURNER C/ THERMO PHASE BORERCAPS 1.000mg/dose,Em andamento,16326971181,Anúncio de Busca de Produtos,termogênico natural,08/10/2022 00:00,Ilimitado,7791,206,2.64%,12,10,5.83%,4.85%,2.26,2.71,13,11,453.90,384.25,27.11,16.74,14.17,5.97%,7.06%,N/A,N/A,N/A,599
PRÉ TREINO THERMOMAX ACTIVE FAT BURNER C/ THERMO PHASE BORERCAPS 1.000mg/dose,Em andamento,16326971181,Anúncio de Busca de Produtos,termomax,08/10/2022 00:00,Ilimitado,3069,83,2.70%,7,6,8.43%,7.23%,1.56,1.82,7,6,259.48,209.58,10.94,23.72,19.16,4.22%,5.22%,N/A,N/A,N/A,438
PRÉ TREINO THERMOMAX ACTIVE FAT BURNER C/ THERMO PHASE BORERCAPS 1.000mg/dose,Em andamento,16326971181,Anúncio de Busca de Produtos,thermo max,08/10/2022 00:00,Ilimitado,4857,120,2.47%,11,10,9.17%,8.33%,1.33,1.47,11,10,388.30,349.30,14.68,26.45,23.79,3.78%,4.20%,N/A,N/A,N/A,442
PRÉ TREINO THERMOMAX ACTIVE FAT BURNER C/ THERMO PHASE BORERCAPS 1.000mg/dose,Em andamento,16326971181,Anúncio de Busca de Produtos,thermomax,08/10/2022 00:00,Ilimitado,992,20,2.02%,1,1,5.00%,5.00%,2.38,2.38,1,1,34.93,34.93,2.38,14.68,14.68,6.81%,6.81%,N/A,N/A,N/A,992
Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,espicula,12/05/2023 00:00,Ilimitado,86,1,1.16%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.13,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
