Quantidade ,Nome do Produto / Anúncio,Status,ID do produto,Tipos de Anúncios,Localização / Palavra-Chave,Data de Início,Data de Encerramento,Impressão,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressões do Produto,Cliques de Produtos,CTR do Produto
1,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,fungifeet,5/12/23 0:00,Ilimitado,142,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
2,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,verruga plantar,5/12/23 0:00,Ilimitado,7,1,14.29%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.12,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
3,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,espicula,5/12/23 0:00,Ilimitado,71,1,1.41%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.13,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
4,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,fungos nas unhas,5/12/23 0:00,Ilimitado,1322,21,1.59%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,2.58,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
5,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,terbinafina +fluconazol,5/12/23 0:00,Ilimitado,120,1,0.83%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.11,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
6,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,psoriase tratamento,5/12/23 0:00,Ilimitado,395,24,6.08%,8,7,33.33%,29.17%,0.36,0.42,8,7,446.74,391.51,2.92,152.99,134.08,0.65%,0.75%,N/A,N/A,N/A
7,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,podoneem 5 em 1,5/12/23 0:00,Ilimitado,227,43,18.94%,12,12,27.91%,27.91%,0.40,0.40,15,15,838.95,838.95,4.84,173.34,173.34,0.58%,0.58%,N/A,N/A,N/A
8,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,terbinafina com fluconazol,5/12/23 0:00,Ilimitado,105,1,0.95%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.11,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
9,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,granuloma,5/12/23 0:00,Ilimitado,72,1,1.39%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.11,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
10,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,cuidados com as unhas,5/12/23 0:00,Ilimitado,2274,52,2.29%,1,1,1.92%,1.92%,6.15,6.15,1,1,55.93,55.93,6.15,9.09,9.09,11.00%,11.00%,N/A,N/A,N/A
