Relatório de Ads de palavras-chave - Shopee Brazil
Nome de Usuário,borersuplementos
Data de Criação do Relatório,09/05/2024 01:16
Período,08/02/2024 - 08/05/2024
ID da Loja,300382311

#,Nome do Produto / Anúncio,Status,ID do produto,Tipos de Anúncios,Localização / Palavra-Chave,Data de Início,Data de Encerramento,Impressão,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressões do Produto,Cliques de Produtos,CTR do Produto
1,Campanha de Anúncios Combinados Automáticos,Encerrado,,Anúncios Combinados,Tudo,10/10/2023 00:00,10/10/2023 21:41,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
2,Termogênico  TERMOMAX Borer Caps 60 cápsulas 590mg - Suplemento Alimetar,Em andamento,12682583867,Anúncios Descoberta,Tudo,09/10/2022 00:00,Ilimitado,34576,411,1.19%,23,19,5.60%,4.62%,2.38,2.88,25,21,930.95,729.95,54.80,16.99,13.32,5.89%,7.51%,N/A,N/A,N/A
3,Termogênico Thermo Max 60 caps. - Borer Caps,Pausado,14164354668,Anúncios Descoberta,Tudo,16/06/2023 00:00,Ilimitado,32444,357,1.10%,7,5,1.96%,1.40%,5.56,7.78,8,5,312.63,207.71,38.90,8.04,5.34,12.44%,18.73%,N/A,N/A,N/A
4,PRÉ TREINO THERMOMAX ACTIVE FAT BURNER C/ THERMO PHASE BORERCAPS 1.000mg/dose,Em andamento,16326971181,Anúncio de Busca de Produtos,Tudo,08/10/2022 00:00,Ilimitado,25578,660,2.58%,55,49,8.33%,7.42%,1.55,1.74,56,50,2019.94,1746.54,85.09,23.74,20.53,4.21%,4.87%,N/A,N/A,N/A
5,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,Tudo,12/05/2023 00:00,Ilimitado,24510,675,2.75%,68,67,10.07%,9.93%,1.19,1.20,76,75,4249.98,4194.75,80.67,52.68,52.0,1.90%,1.92%,N/A,N/A,N/A
6,Termogênico THERMO MAX 60caps - 590mg BORECAPS,Em andamento,19097516007,Anúncio de Busca de Produtos,Tudo,19/11/2023 00:00,Ilimitado,17183,346,2.01%,24,18,6.94%,5.20%,1.76,2.34,26,20,996.66,698.00,42.20,23.62,16.54,4.23%,6.05%,N/A,N/A,N/A
7,Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,Tudo,12/08/2022 00:00,Ilimitado,15446,350,2.27%,11,11,3.14%,3.14%,3.82,3.82,12,12,468.00,468.00,42.00,11.14,11.14,8.97%,8.97%,N/A,N/A,N/A
8,Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,Tudo,26/07/2022 00:00,Ilimitado,12971,300,2.31%,6,4,2.00%,1.33%,6.34,9.51,6,4,299.09,169.74,38.06,7.86,4.46,12.72%,22.42%,N/A,N/A,N/A
9,SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,Tudo,19/11/2023 00:00,26/02/2024 21:19,11852,226,1.91%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,28.07,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
10,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncio de Busca de Produtos,Tudo,08/10/2022 00:00,Ilimitado,11032,186,1.69%,5,5,2.69%,2.69%,5.21,5.21,5,5,199.60,199.60,26.04,7.67,7.67,13.05%,13.05%,N/A,N/A,N/A
11,21898594896,Encerrado,21898594896,Anúncio de Busca de Produtos,Tudo,23/09/2023 00:00,Ilimitado,7258,134,1.85%,16,14,11.94%,10.45%,1.02,1.16,17,15,940.31,828.45,16.27,57.8,50.92,1.73%,1.96%,N/A,N/A,N/A
